Revelations,Source documents & publications,Intelligence agencies,Countries,Codename of surveillance programme(s),Target(s),Type of surveillance,Why?,,
Surveillance of G20 delegates in London,https://edwardsnowden.com/revelations#surveillance-of-g20 ,GCHQ,GLB,,"South African delegates, Russian delegates, Turkish finance minister and other delegates ","Phone monitoring, Email monitoring, Key-logging",To influence discussions to the UK's advantage,,
EU and UN buildings bugged by the NSA,https://edwardsnowden.com/revelations#eu-and-un-buildings-bugged ,NSA,"EU,BRA,BGR,COL,FRA,GEO,GRC,IND,ITA,JPN,MEX,SVK,ZAF,ROK,TWN,VEN,VNM,GAB,UGA,NGA,BIH,CHN,RUS,IRN,PRK",DROPMIRE,"UN Secretary General, EU Diplomats, Governments","Wiretapping, Signals intelligence (SIGINT), Bugs",To gain access to “foreign government and economic” data which would give the U.S the upper hand in negotiations,,
NSA intelligence on the UN Security Council,https://edwardsnowden.com/revelations#nsa-intelligence-on-the-UN-security-council ,NSA,"FRA,JPN,MEX,BRA,IRN,TUR,LBN,GLB",,UN Security Council members (representatives of countries),Signals intelligence (SIGINT),To ensure that the Security Council voted for increased sanctions against Iran,,
NSA supplied intelligence on the Summit of Americas,https://edwardsnowden.com/revelations#nsa-supplied-intelligence-on-summit-of-americas ,NSA,"ATG,ARG,BHS,BLZ,BOL,BRA,CAN,CHL,COL,CRI,DMA,DOM,ECU,SLV,GRD,GTM,GUY,HTI,HND,JAM,MEX,NIC,PAN,PER,PRY,PER,KNA,LCA,VCT,SUR,TTO,URY,VEN",,Presidents and Prime Ministers,Unknown (spying),"To deal with issues, such as Cuba, and “difficult counterparts”, such as the Venezuelan President",,
NSA targets French foreign ministry network,https://edwardsnowden.com/revelations#nsa-targets-french-foreign-ministry-network ,NSA,FRA,,Diplomats,"Bugs, Access to computer network ","Foreign policy objectives, weapons trade and economic stability",,
NSA targets Brazilian and Mexican presidents,https://edwardsnowden.com/revelations#nsa-targets-brazil-and-mexican-presidents ,NSA,"BRA,MEX",,Presidents,Filtering data and mapping contact network,Brazil and Mexico are rising as new actors which can stress regional stability,,
GCHQ exploits Belgian telecom company,https://edwardsnowden.com/revelations#gchq-exploits-belgian-telecom-company ,GCHQ,"BEL,EU",Operation Socialist,"European Commission, European Parliament and the European Council (and Belgacom employees)",Redirection to websites that plant Regin malware on targets' computers,"To gain access to and infiltrate communications in the European Council, European Parliament and European Council",,
India a top target,https://edwardsnowden.com/revelations#india-a-top-target ,NSA,IND,,Indian diplomats at the UN and DC offices,Data collection bugs,For political and commercial reasons,,
US and Canada spy on Brazil's Ministry of Mines and Energy,https://edwardsnowden.com/revelations#us-and-canada-spy-on-brazil ,"NSA, CSEC",BRA,Olympia,Brazil's Ministry of Mines and Energy (MME),"Signals intelligence (SIGINT), Analytics",Political and economic espionage,,
Mexican president's email account accessed,https://edwardsnowden.com/revelations#operation-flatliquid ,NSA,MEX,Flatliquid,Mexican President,Computer-network exploitation and access to President's public email account,To gain insight into Mexico's political system and internal stability,,
Wiretapping French diplomats,https://edwardsnowden.com/revelations#wiretapping-french-diplomats ,NSA,"FRA,BRA,BGR,COL,GEO,GRC,IND,ITA,JPN,MEX,SVK,ZAF,ROK,TWN,VEN,VNM","Highlands, Vagrant, Magnetic, Mineralize, Ocean",Diplomats,"Data collection from implants, computer screens, magnetic emanations and LAN implants ",Intelligence gathering,,
NSA monitors calls of world leaders,https://edwardsnowden.com/revelations#nsa-monitors-calls-of-world-leaders ,NSA,GLB,,Political and military leaders,Phone monitoring,Intelligence gathering,,
French intelligence questioned NSA over hacking incident,https://edwardsnowden.com/revelations#french-intelligence-questions-nsa ,NSA,FRA,,French Presidency,Cyber attacks against the French presidential network,,,
"US spies from the Berlin Embassy, targets Angela Merkel",https://edwardsnowden.com/revelations#us-spies-from-the-berlin-embassy ,"NSA, CIA",DEU,,"Chancellor, German government","Phone monitoring, interception of cellular signals, wireless networks and satellite communications",Intelligence gathering with regards to the trans-Atlantic free trade agreement,,
Venezuela named as a key NSA target,https://edwardsnowden.com/revelations#venezuela-named-as-a-key-nsa-target ,NSA,VEN,,Venezuelan Government and Ministry of Planning and Finance,Email monitoring,Economic and political espionage,,
GCHQ monitors international hotel reservations,https://edwardsnowden.com/revelations#gchq-monitors-hotel-reservations ,GCHQ,GLB,Royal Concierge,Diplomats,"Interception of mobile, internet and fax communications",Intelligence gathering ,,
Indonesian leadership an ASD target,https://edwardsnowden.com/revelations#indonesian-leadership-an-asd-target ,ASD,IDN,,Indonesian President and nine other officials and confidants,Phone monitoring and voice interception,Intelligence gathering,,
Canada allowed NSA to spy on G8 and G20 Summits,https://edwardsnowden.com/revelations#canada-allowed-nsa-spying-on-g8-and-g20-summits ,NSA,GLB,,Government representatives,"Phone monitoring, Email monitoring, Key-logging",To influence discussions to the U.S.' advantage,,
Sweden's FRA spies on Russian leadership for the NSA,https://edwardsnowden.com/revelations#swedens-fra-spies-on-russian-leadership-for-the-nsa ,"FRA, NSA","RUS,the Baltic and the Middle East",,Russian leadership and counterintelligence,Electronic intelligence (ELINT) signals,,,
"Italian leadership, embassy and public targeted by the NSA",https://edwardsnowden.com/revelations#italian-leadership-embassy-and-public-targeted-by-the-nsa ,NSA,ITA,"Lifesaver, Highlands",Italian diplomats,Gaining access to communications by means of “implants” and obtaining images from hard drives,,,
NGOs and allies found on GCHQ target lists,https://edwardsnowden.com/revelations#ngos-and-allies-found-on-GCHQ-target-lists ,GCHQ,"EU,DEU,ISR,Africa,FRA,CHE,GEO,TUR",,Diplomats and government leaders,"Phone monitoring, email monitoring, satellite surveillance",,,
NSA spied to strengthen US negotiating position at UN climate conference,https://edwardsnowden.com/revelations#nsa-spied-to-strengthen-us-negotiating-position-at-UN-climate-conference ,NSA,GLB,,Government representatives,Signals intelligence (SIGINT),To strengthen US negotiating position at the 2009 Copenhagen Climate Summit,,
German Chancellors have been surveilled by US since at least 2002,https://edwardsnowden.com/revelations#german-chancellors-have-been-surveiled-by-US-since-at-least-2002 ,NSA,DEU,,German Chancellors,Phone monitoring,,,
2013 FISA Court order authorised spying on communications related to “Germany”,https://edwardsnowden.com/revelations#2013-fisa-court-order-authorised-spying-on-communications-related-to-germany ,NSA,"DEU,CHN,JPN,MEX,VEN,YEM,BRA,SDN,GTM,BIH,RUS",NYMROD,"German Defense Ministry and Chancellor, and 122 other international leaders","Interception of communications, Content extraction analytics",,,
GCHQ focuses on international climate summits,https://edwardsnowden.com/revelations#gchq-focuses-on-international-climate-summits ,GCHQ,GLB,,Government representatives,Signals intelligence (SIGINT),To strengthen negotiating positions ,,
Regin malware linked to GCHQ attack on another EU country,https://edwardsnowden.com/revelations#regin-malware-linked-to-gchq-attack-on-another-eu-country ,GCHQ ,"BEL,EU",Operation Socialist,"European Commission, European Parliament and the European Council",Redirection to websites that plant Regin malware on targets' computers,"To gain access to and infiltrate communications in the European Council, European Parliament and European Council",,
New Zealand targeted Solomon islands public officials and anti-corruption campaigners,https://edwardsnowden.com/revelations#new-zealand-targeted-solomon-islands-public-officials-anti-corruption-campaginers ,GCSB,"SLB,NZL",XKeyscore,"Solomon Islands: Permanent Secretary of the Ministry of Foreign Affairs and External Trade, Chief of staff to the Prime Minister, Special Secretary to the Prime Minister, Senior Foreign Affairs official,  Cabinet Secretary",Interception of communications,Possibly part of a secret attempt to intercept information about the Truth and Reconciliation Commission, , 
New Zealand's spies plotted China hack with the NSA,https://edwardsnowden.com/revelations#new-zealand-plotted-china-hack-with-nsa ,"GCSB, NSA","CHN,NZL,USA",Frostbite/ BASILHAYDEN,"Chinese Ministry of Foreign Affairs, Chinese consulate and visa office in Auckland",Attempted hack of data communications link,,,
CSEC's methodology explained,https://edwardsnowden.com/revelations#csecs-methodology-explained ,CSEC,"CAN,BRA",Olympia,Brazil's Ministry of Mines and Energy (MME),"Signals intelligence (SIGINT), Analytics",Political and economic espionage,,
